ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,FeedPrice,FeedPrice_lower,FeedPrice_upper,LayinghenPrice,LayinghenPrice_lower,LayinghenPrice_upper,Stock,Stock_lower,Stock_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-14,3.1123668376236897,2.7596039231631697,2.994137123914374,3.1123668376236897,3.1123668376236897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22903355599081007,-0.22903355599081007,-0.22903355599081007,0.0,0.0,0.0,-0.22903355599081007,-0.22903355599081007,-0.22903355599081007,0.0,0.0,0.0,2.8833332816328796
2022-03-21,3.1233139213312877,2.8014556498399306,3.0517450214911976,3.1233139213312877,3.1233139213312877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19637287590745994,-0.19637287590745994,-0.19637287590745994,0.0,0.0,0.0,-0.19637287590745994,-0.19637287590745994,-0.19637287590745994,0.0,0.0,0.0,2.9269410454238276
2022-03-28,3.1342610050050026,2.7962505336142414,3.0471018334321593,3.1342610050050026,3.1342610050050026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2085098110362153,-0.2085098110362153,-0.2085098110362153,0.0,0.0,0.0,-0.2085098110362153,-0.2085098110362153,-0.2085098110362153,0.0,0.0,0.0,2.9257511939687872
2022-04-04,3.1452080886787175,2.766663302650704,3.0173334986109857,3.1452080886787175,3.1452080886787175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24822949163171998,-0.24822949163171998,-0.24822949163171998,0.0,0.0,0.0,-0.24822949163171998,-0.24822949163171998,-0.24822949163171998,0.0,0.0,0.0,2.8969785970469975
2022-04-11,3.1561551723524324,2.7478360622996445,3.012558193292958,3.1561551723524324,3.1561551723524324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27141928802274784,-0.27141928802274784,-0.27141928802274784,0.0,0.0,0.0,-0.27141928802274784,-0.27141928802274784,-0.27141928802274784,0.0,0.0,0.0,2.8847358843296846
2022-04-18,3.1671022560261473,2.7940881682000094,3.0583084304609467,3.1671022560261473,3.1671022560261473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2518043606459505,-0.2518043606459505,-0.2518043606459505,0.0,0.0,0.0,-0.2518043606459505,-0.2518043606459505,-0.2518043606459505,0.0,0.0,0.0,2.915297895380197
2022-04-25,3.178049339699862,2.8487319439306296,3.0996982005602427,3.178049339699862,3.178049339699862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20273398291106143,-0.20273398291106143,-0.20273398291106143,0.0,0.0,0.0,-0.20273398291106143,-0.20273398291106143,-0.20273398291106143,0.0,0.0,0.0,2.975315356788801
2022-05-02,3.188996423373577,2.9005934884288247,3.1495441318889603,3.188996423373577,3.188996423373577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15550496695318122,-0.15550496695318122,-0.15550496695318122,0.0,0.0,0.0,-0.15550496695318122,-0.15550496695318122,-0.15550496695318122,0.0,0.0,0.0,3.033491456420396
2022-05-09,3.1999435068850572,2.9523846544576258,3.206015669390303,3.1999435068850572,3.1999435068850572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12337616364887778,-0.12337616364887778,-0.12337616364887778,0.0,0.0,0.0,-0.12337616364887778,-0.12337616364887778,-0.12337616364887778,0.0,0.0,0.0,3.0765673432361793
2022-05-16,3.2108905903965375,3.000959150865755,3.2426323290481176,3.2108905903965375,3.2108905903965375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09384160540281178,-0.09384160540281178,-0.09384160540281178,0.0,0.0,0.0,-0.09384160540281178,-0.09384160540281178,-0.09384160540281178,0.0,0.0,0.0,3.1170489849937257
2022-05-23,3.2218376739080177,3.0439248305962523,3.2918371509638398,3.2218376739080177,3.2218376739080177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0548358706850655,-0.0548358706850655,-0.0548358706850655,0.0,0.0,0.0,-0.0548358706850655,-0.0548358706850655,-0.0548358706850655,0.0,0.0,0.0,3.167001803222952
2022-05-30,3.232784757419498,3.0946665750366424,3.346824303792322,3.232784757419498,3.232784757419498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018860750500922577,-0.018860750500922577,-0.018860750500922577,0.0,0.0,0.0,-0.018860750500922577,-0.018860750500922577,-0.018860750500922577,0.0,0.0,0.0,3.2139240069185755
2022-06-06,3.243731840930978,3.103024521851785,3.3495939108295163,3.243731840930978,3.243731840930978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012558930315755515,-0.012558930315755515,-0.012558930315755515,0.0,0.0,0.0,-0.012558930315755515,-0.012558930315755515,-0.012558930315755515,0.0,0.0,0.0,3.2311729106152227
2022-06-13,3.2546789244424588,3.0829848234499244,3.334628113962145,3.2546789244424588,3.2546789244424588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042835780757970204,-0.042835780757970204,-0.042835780757970204,0.0,0.0,0.0,-0.042835780757970204,-0.042835780757970204,-0.042835780757970204,0.0,0.0,0.0,3.2118431436844888
2022-06-20,3.2656260209574697,3.059102560500671,3.3058406032193455,3.2656260209574697,3.2656260209574697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08097902081279108,-0.08097902081279108,-0.08097902081279108,0.0,0.0,0.0,-0.08097902081279108,-0.08097902081279108,-0.08097902081279108,0.0,0.0,0.0,3.1846470001446785
2022-06-27,3.2765731174724806,3.0751088947825975,3.319440225183205,3.2765731174724806,3.2765731174724806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08651249207046235,-0.08651249207046235,-0.08651249207046235,0.0,0.0,0.0,-0.08651249207046235,-0.08651249207046235,-0.08651249207046235,0.0,0.0,0.0,3.190060625402018
2022-07-04,3.2875202139874915,3.118097159816973,3.36475354271188,3.2875202139874915,3.2875202139874915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046185208948416726,-0.046185208948416726,-0.046185208948416726,0.0,0.0,0.0,-0.046185208948416726,-0.046185208948416726,-0.046185208948416726,0.0,0.0,0.0,3.241335005039075
2022-07-11,3.2984673105025024,3.191206637270314,3.4307962265029093,3.2984673105025024,3.2984673105025024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014566758762740281,0.014566758762740281,0.014566758762740281,0.0,0.0,0.0,0.014566758762740281,0.014566758762740281,0.014566758762740281,0.0,0.0,0.0,3.313034069265243
2022-07-18,3.3094144070175133,3.246324494925524,3.491100162369529,3.3094144070175133,3.3094144070175133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05936464909930324,0.05936464909930324,0.05936464909930324,0.0,0.0,0.0,0.05936464909930324,0.05936464909930324,0.05936464909930324,0.0,0.0,0.0,3.3687790561168165
2022-07-25,3.3238614364934183,3.276846817080071,3.5269435819943253,3.3238614364934183,3.3238614364934183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07632538789640972,0.07632538789640972,0.07632538789640972,0.0,0.0,0.0,0.07632538789640972,0.07632538789640972,0.07632538789640972,0.0,0.0,0.0,3.400186824389828
2022-08-01,3.338308465969323,3.299067484618743,3.5425195527730793,3.338308465969323,3.338308465969323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08375293802571465,0.08375293802571465,0.08375293802571465,0.0,0.0,0.0,0.08375293802571465,0.08375293802571465,0.08375293802571465,0.0,0.0,0.0,3.4220614039950377
2022-08-08,3.352755495445228,3.338252245583997,3.586038745817116,3.352755495445228,3.352755495445228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1042800150814134,0.1042800150814134,0.1042800150814134,0.0,0.0,0.0,0.1042800150814134,0.1042800150814134,0.1042800150814134,0.0,0.0,0.0,3.4570355105266417
2022-08-15,3.3672025249211326,3.3828683385307623,3.6260030033496675,3.3672025249211326,3.3672025249211326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1397330282889774,0.1397330282889774,0.1397330282889774,0.0,0.0,0.0,0.1397330282889774,0.1397330282889774,0.1397330282889774,0.0,0.0,0.0,3.50693555321011
